Theme,,Question,Answer 1,Answer 2,Answer 3,Answer 4,Description,Enabled,,
AAA,167,What game requires the player to find their own way to the goal?,Dishonored,Days Gone ,The Witcher 3 ,Marvel's Spider-Man,"In Dishonored, the map is available in the game menu and shows various locations that Corvo can visit. However, it does not display all the details and paths in the location, so the player needs to independently explore the game world and find a way to their objectives. The main emphasis in the game is on using different approaches to pass through locations and using various tricks to achieve the goal.",,,
AAA,168,"In which game can the main character go back in time and change the fate of other characters?""",Dishonored 2,The Witcher 3 ,Ghost Of Thushima ,God Of War,"In the A Crack in the Slab quest of Dishonored 2, Corvo/Emily has a timepiece that allows them to travel through time and change the appearance of the mansion, the city, and the fates of Aramis Stilton and Megan Foster.",,,
PlayStation,169,In which game do enemies become stronger at night?,Days Gone,The Last of Us,Marvel’s Spider-Man,Horizon Zero Dawn,"In Days Gone, players can encounter many enemies, but at night, the Freakers become more active and stronger, making them harder to kill.",,,
AAA,170,"In the game The Witcher 3, the character who said the phrase ""Why men throw their lives away attacking an armed witcher... I'll never know. Something about my face?""",Geralt,Lambert,Eskel,Vesemir,"Traveling through the world, the Witcher Geralt encounters many enemies that he has to fight. So after another battle, he asks a fairly logical question.",,,
PlayStation,171,In which game can weather change depending on the player's play style?,Ghost Of Thushima,God Of War,Days Gone,The Witcher 3,"The weather in Ghost of Tsushima can be changed at any time by playing the flute, however, in one of the interviews, the creative director stated that the player's gameplay style also influences it. 'The game is definitely scripted to provide more storms as you do things which are extremely Ghost driven,' said Nate Fox.",,,
AAA,172,What state do the events of the game Days Gone take place in?,Oregon,New York,Florida,Texas,"The development team of Days Gone from Bend Studio visited many places in the state of Oregon, where the game takes place, to get inspiration for creating the virtual world.",,,
AAA,173,"In Dishonored 2, what did Delilah do to Corvo or Emily (depending on who the player chooses to play as) when she seized the throne?",Turned into stone,Transferred to another world,Erased the memory,Closed in a dungeon,"At a reception in honor of the anniversary of Jessamine Kaldwin's death, hosted by Emily Kaldwin and Corvo Attano, Duke Luca Abele arrives with Delilah Copperspoon, who claims the throne. The city watch, under the command of Mortimer Ramsey, betrays Emily and attacks her. Corvo quickly attacks Delilah, but she survives after what seemed like a deadly sword strike, and proceeds to strip him of his supernatural abilities. The player is then given the choice to play as either Emily Kaldwin or Corvo Attano. Depending on the choice of the other hero, Delilah is turned into a statue.",hard,,
PlayStation,174,What game features a main character who rides a 4-wheeled bike due to the game engine not supporting two-wheeled vehicles?,Days Gone,Death Stranding,Gran Turismo 7,Uncharted,"The game Days Gone is built on a modified version of UE4. The engine does not support two-wheeled transportation, so the developers had to be clever. In reality, Deacon rides a four-wheeled bike, with two wheels that are invisible and turned to the side, and their collisions are disabled.",,,
PlayStation,175,In which part does Nate Drake's daughter appear?,Uncharted: A Thief’s End,Uncharted: Drake’s Fortune,Uncharted: Drake’s Deception,Uncharted: Among Thieves,Kassy appears in the fourth installment of Uncharted: A Thief's End. She is the daughter of Nathan Drake and Elena Fisher. And she is a playable character.,,,
AAA,176,What did Ciri have to save the world from in The Witcher 3 game?,The White Frost,From the Wild Hunt,From the flood,From the Witches of the Swamp,"At the end of her journey, Ciri sets out for another world to stop the White Frost, and if her relationship with Geralt is good, she succeeds and returns.",hard,,
PlayStation,177,What was the destination of Kratos and Atreus to find the Eye of Mimir?,To the belly of the World Serpent.,Asgard,Jotunheim,Niflheim,"During the game, the main characters discover that the Eye of Mimir was hidden within a statue of Thor, which was swallowed by the World Serpent.",hard,,
PlayStation,178,"In which game by Naughty Dog does the main character embark on a treasure hunt mission, with gameplay consisting of a combination of action, adventure, and puzzle elements.",Uncharted,The Last Of Us ,Crash Bandicoot,Way of the Warrior,"Uncharted combines third-person action and 3D platformer elements. The player takes on the role of adventurer Nathan Drake, who travels to exotic locations such as jungles, ancient ruins, and must perform acrobatic maneuvers and fight enemies. He can jump, climb ledges, swim, grab onto ropes and vines. At times, puzzles need to be solved, and clues to which are found in Drake's journal.",,,
PlayStation,179,Як звати цього персонажа з гри Uncharted?,Надін Росс,Єлена Фішер,Хлоя Фрейзер,Кетрін Марлоу,,0,,
PlayStation,180,Чия це тату?,Еллі (Tha Last Of Us),Цирілла (The Witcher 3),Сара (Days Gone),Емілі (Dishonored 2) ,,0,,
AAA,181,З якої локації The Witcher 3 цей вид? ,Novigrad,Skelige,Oxenfurt,Velen,,0,,
AAA,182,З якої гри цей момент? ,The Witcher 3 DLC Серця з каменю,Elden Ring,God of War,Horizon Zero Dawn,,0,,
PlayStation,183,Хто з них Сем Дрейк? ,,,,,,0,,
Minecraft,184,What is the name of the Minecraft version for mobile?,MINECRAFT POCKET EDITION,MINI MINECRAFT,MINE TELEPHONE VERSION,MINECRAFT POCKET EDIT,,,,
Minecraft,185,On which of these consoles can you play Minecraft?,On all of the listed,On a computer or laptop,On Xbox,On Wii,,,,
Minecraft,186,What equipment should you use to mine stone and ore in Minecraft?,Pick,Scissors,Axe,Shovel,,,,
Minecraft,187,What are creepers afraid of in Minecraft?,Ocelots,Spriders,Cows,Dark,,,,
Minecraft,188,How to make a big chest in Minecraft?,Place two chests next to each other,Place three chests next to each other,It needs to be purchased,You need to find a giant chest and then shrink it,,,,
Minecraft,189,"In Minecraft, Endermen can be damaged in several ways. What is false about this?",Rolled-up newspaper,Melee attacks,Rain,A splash of water bottle,,,,
Minecraft,190,What is the win condition for completing the Diversity Three map in Minecraft?,You need to build a monument out of colored wool,To complete all quests.,To do nothing,To survive for a certain period of time,,,,
Minecraft,191,How many iron ore blocks are needed to make one iron ingot in Minecraft?,1,2,4,What is an iron ingot?,,,,
Minecraft,192,What can you wear to stop an Enderman from attacking you in Minecraft?,Pumpkin,Cabbage,Potatoes,Turnip,,,,
Minecraft,193,How does a charged creeper appear in Minecraft?,When lightning strikes within four blocks of a regular creeper,When a creeper eats a plate of stones,When a creeper collects a battery,Even the creators of the game don't know this,,,,
Minecraft,194,Who is the leader of the Endermen in Minecraft?,Edge dragon,King of the Edge,Donald Trump,Eugene,,,,
Minecraft,195,How to obtain obsidian in Minecraft?,Mix water and lava,Mix wood and iron,Mix iron and lava,Mix water and diamonds,,,,
Minecraft,196,How tall is a Ghast (without tentacles) in Minecraft?,4 blocks,3 blocks,6 blocks,1 block but sooooo big,,,,
Minecraft,197,What can you use rotten flesh for in Minecraft?,To heal the wolves,To scare off creepers,To get diamonds,To play,,,,
Minecraft,198,Pigs drop pork chops and skeletons drop bones. What do zombies drop in Minecraft?,Rotten flesh,Sweets,Brain,Chips,,,,
Minecraft,199,"The world of Minecraft is huge and consists of trillions upon trillions of blocks. If the Minecraft world were real, how big would it be?",Like the planet Neptune,Like the planet Jupiter,Like Earth,Like Ukraine,,,,
Minecraft,200,What vegetables can be used to make a Night Vision potion in Minecraft?,Golden carrot,Brass potatoes,Diamond turnip,Iron cabbage,,,,
Minecraft,201,Which of these YouTubers plays Minecraft?,They all play,FROST,Dan TDM,PopularMMOs,,,,
Minecraft,202,What real animal was recorded to create the sound effects for Phantoms in Minecraft?,Cat,Snake,Budgie,Dog,,,,
Minecraft,203,In which country is it allowed to play Minecraft in schools?,Sweden,Norway,Japan,France,,,,
Minecraft,204,What is your default username in Minecraft?,Steve,Jack,Peter,John,,,,
Minecraft,205,How are diamonds mined in Minecraft?,With a diamond pickaxe,With your hand,With an ax,Nothing is impossible,,,,
Minecraft,206,How is the Nether portal built in Minecraft?,From obsidian and flint,From golden blocks and water,From lava and stone,From clay,,,,
Minecraft,207,Are there jungles in the game Minecraft?,Yes,I don't know,No,What is jungle?,,,,
Minecraft,208,What do you need to bring to a mine in Minecraft?,"Pickaxe, torches and food",Pickaxe only,Torch only,Only food,,,,
Minecraft,209,Which blocks will catch fire if struck by lightning in Minecraft?,Wool,Earth,Obsidian,None,,,,
Minecraft,210,What blocks can't a Ghast destroy in Minecraft?,Cobblestone,Obsidian,Earth,None,,,,
Minecraft,211,What will happen if you eat rotten flesh in Minecraft?,Poisoning,Nothing will happen,You will become a zombie,You will become a new character,,,,
Minecraft,212,What is the weakest block in the game?,Slime blocks,Brick blocks,Iron Blocks,There is no such,,,,
Minecraft,213,How can I get capes for Minecraft?,Attending special events or buying skin packs,Attending special events,Win the game,Buying skin packs,,,,
Minecraft,214,What is the rarest ore in Minecraft?,Emerald ore,Cobalt ore,Polymetallic ore,Lead-zinc ore,,,,
Minecraft,215,Does violence exist in the game?,No it doesn't exist,"Yes, there are many",Minecraft contains very little violence,"It's child's play, why think about it",,,,
Minecraft,216,What food grows the fastest in Minecraft?,Sugarcane and cactus,Carrot and beetroot,Potato and cabbage,There is no such food,,,,
Minecraft,218,What is the rarest cave in Minecraft?,Mega cave,Small cave,Middle cave,They all meet frequently,,,,
Minecraft,219,Which shader is better?,All options are correct,Oceano Shaders,Nostalgia Shaders,Sildur’s Vibrant Shaders,,,,
Minecraft,220,Do vampires exist in Minecraft?,Yes,No,"They're not vampires, they're zombies.",Don't know,,,,
Minecraft,221,How many hearts does Ender the dragon have in the game Minecraft?,100 hearts,1 heart,20 hearts,No hearts,,,,
Minecraft,222,Which biome has the most diamonds in Minecraft?,Savannah and desert,Snow biome,Underground biome,Desert,,,,
Minecraft,223,Can you tame a polar bear in Minecraft?,Give me some fish and you'll be fine,"No, this is a complex character.",There is no white bear in this game,I don't know,,,,
Minecraft,224,Can you tame a panda in minecraft Minecraft?,No,Feed the panda and everything will work out,I don't know,There is no panda in this game,,,,
Minecraft,225,Is it possible to drink blood in Minecraft?,"Yes, with keyboard shortcuts",No,Why should I drink blood in the game,I don't know,,,,
Minecraft,226,What is the hardest block in Minecraft?,Obsidian,Lava,Flower pot,There is no such,,,,
Minecraft,227,Which villager sells armor in Minecraft?,Armorer,Witch,Wandering Trader,Every vilager can,,,,
Minecraft,228,Which villager trades Ender's pearls in Minecraft?,Priest,Armorer,Wandering Trader,Witch,,,,
Minecraft,229,Can you tame a dolphin in minecraft?,No,There is no dolphin in this game,Can you feed the dolphin,I don't know,,,,
Minecraft,230,What do frogs eat in Minecraft?,Slug or small magma cube,Grass,Only a cube of magma,Nothing,,,,
Minecraft,231,What is the Creative mode in Minecraft?,"In getting acquainted with the game, its gameplay, and its creativity",In building your own home,"In the fight against unknown inhabitants,",In changing the rules,,,,
Minecraft,232,Why do you need a chair in Minecraft?,For storing and reading books,For playing football,For relax,I don't know,,,,
Fortnite,233,What do players use to build their buildings in Fortnite Creative? ,Islands,Blocks,Bricks,Stones,,,,
Fortnite,234,What is the name of Battle Royale’s Shrinking Map? ,The Storm,The Hurricane,The Cyclone,The Moon,,,,
Fortnite,235,What is the price of Fortnite Battle Royale? ,Nothing. Completely Free.,$10,$15,$20,,,,
Fortnite,236,What is the main currency called?,V-Bucks,Euro,Dollar,Pounds,,,,
Fortnite,237,What is the rarest pickaxe in Fortnite?,Raider’s Revenge Pickaxe,Raider’s Revenge Hatchet,Raider’s Revenge Gun,Nothing,,,,
Fortnite,238,What is the best long-range weapon?,Bolt Action Sniper Rifle,M2 Browning,Haja-no-Ontachi,There are no weapons in the game,,,,
Fortnite,239,What are the two game modes in Fortnite?,Save the World and Battle Royale,The Storm and The Moon,The Pickaxe and The King,All answers are incorrect,,,,
Fortnite,240,How long do Fortnite matches typically take?,30 minutes,15 minutes,1 hour,Few miniutes,,,,
Fortnite,241,Who created Fortnite?,Epic Games,Nintendo,Ubisoft,PopCap Games,,,,
Fortnite,242,How many players are involved in a ‘Fortnite’ battle? ,100,50,115,7,,,,
Fortnite,243,How many players can survive a ‘Fortnite’ battle?,Last Man Standing,Up to 3,No one,All players,,,,
Fortnite,244,What is the name given to the center of the island? ,Eye,Earth,Alfi,Moon,,,,
Fortnite,245,What natural phenomena compel the participants to move in closer proximity to one another? ,Storm,hurricane,cyclone,lightning,,,,
Fortnite,246,What is the name of the character that is shaped like a banana? ,Peely,Karl,Welly,Matt,,,,
Fortnite,247,How many Fornite skins are currently available? ,Over 160,Over 10,Over 3,Only 1,,,,
Fortnite,248,What is the first weapon you can get in Battle Royale? ,Pickaxe,Hatchet,Gun,There are no weapons in the game,,,,
Fortnite,249,What is the in-game item used when jumping off of the Battle Bus?,Glider,Paper plane,Martin-Marietta,Styrofoam,,,,
Fortnite,250,What is the default glider called?,The O.G.,Nintendo,Ubisoft,PopCap Games,,,,
Fortnite,251,How many default skins can you use when you join the game?,8,2,3,10,,,,
Fortnite,252,What is the mode without building called?,Zero-Build,Battle Royale,Raider’s Revenge,There is no mode without building called,,,,
Fortnite,253,What was “Fortnite” originally called?,Save the World,Battle Royale,Zero-Build,Martin-Marietta,,,,
Fortnite,254,What are the classes of weapons in Fortnite?,All answers are correct,Common,Uncommon,Rare,,,,
Fortnite,255,How much does a legendary skin cost?,"2,000 V-Bucks","1,200 V-Bucks","5,000 V-Bucks",10 V-Bucks,,,,
Fortnite,256,How many Supply Llamas exist per match?,5 per match,2 per match,4 per match,10 per match,,,,
Fortnite,257,How many players can a Choppa carry?,5,13,2,No one,,,,
Fortnite,258,What color is the combat bus’s balloon? ,Blue and White,Blue and Grenn,Green and White,Black,,,,
Fortnite,259,What is the minimum level of protection required to use Small Shield Potion? ,50,10,64,15,,,,
Fortnite,260,What does the Rift-To-Go item do? ,Lifts in the Air, Lifts in the Ground, Lifts in the Building,All answers are incorrect,,,,
Fortnite,261,Which explosives do the most harm to structures? ,Dynamite,Gun,Bomb,Rifle,,,,
Fortnite,262,What do you mean by the game name Fortnite? ,Period of 14 days,Period of 7 days,Period of 4 days,Period of 1 day,,,,
Fortnite,263,How much XP does the player get by discovering a new location? ,2000XP,500XP,No XP,10000XP,,,,
Fortnite,264,Which mode of transport enables gamers to travel on water? ,Motorboat,Catamaran,Yacht,Sailboat,,,,
Fortnite,265,What function do llamas serve in Fortnite? ,Source of Resources,No function,They help get food,There are no llamas,,,,
Fortnite,266,How much does it cost to play Fortnite?,It's free to play,$100 per month,$15 annually,$5 per one game,,,,
Fortnite,267,What is the oldest dance in Fortnite?,Fresh,Belly dance,Contemporary,Folk Dance,,,,
Fortnite,268,What should gamers prioritize when playing Battle Royale?,Health,Strength,Agility,All answers are incorrect,,,,
Fortnite,269,What can players earn by completing missions or daily quests?,V-Bucks,Health,Blocks,All answers are incorrect,,,,
Fortnite,270,What materials can be used to build structures?,All answers are correct,Wood,Brick,Metal,,,,
Fortnite,271,What was the first skin ever in Fortnite?,Renegade,Battle Royale,Creative,Save the World,,,,
Fortnite,272,"Thanks to her pink hair and wide-eyed look, which original skin is regularly referred to as 'anime girl'?",Lexa,Kamila,Insia,Nathalie,,,,
Fortnite,273,How much is an uncommon skin?,800 V Bucks,1000 V Bucks,1200 V Bucks,1400 V Bucks,,,,
Fortnite,274,"In ""Fortnite Battle Royale"", which region is an abandoned facility with overgrown trees located north of Salty Springs?",Dusty Divot,Haunted Hills,Greasy Grove,Tomato Town,,,,
Fortnite,275,"How many players are on a team in the ""Duos"" mode of ""Fortnite Battle Royale""?",2,10,5,1,,,,
Fortnite,276,What can players do that they normally can't do in other shooters?,Build,Jump,Shoot,Reload,,,,
Fortnite,277,"How many players are on a team in the ""Squads"" mode of ""Fortnite Battle Royale""?",4,9,15,6,,,,
Fortnite,278,Which region replaced Anarchy Acres?,Lazy Links,Paradise Palms,Fatal Fields,Junk Junction,,,,
Fortnite,279,"In ""Fortnite Battle Royale"", Rex debuted along with which harvester?",Pick Squeak,Chomp Jr.,Bitemark,Raider's Revenge,,,,
Fortnite,280,What can be released from a Treasure Chest?,Weapons,V-Bucks,Emotes,Skins,,,,
Fortnite,281,What falls from the sky containing weapons and other goodies?,Supply Drops,Treasure Chests,Barrels,Rifts,,,,
Fortnite,282,"What type of vehicle do you jump out of to start in ""Fortnite Battle Royale""?",Bus,Car,RV,Airplane,,,,
Roblox,283,What is Roblox?,Online game development platform,Online retail store,Fast food,Antivirus software,"Roblox was created by David Bashutsky and Eric Kassel in 2004. Initially, the platform was relatively small, the essence of the expansion took place after 2015",,,
Roblox,284,What is the release date of Roblox?,"September 1, 2006 (Windows, macOS)","December 11, 2012 (iOS)","July 16, 2014 (Android)","November 20, 2015 (Xbox One)","Roblox Release Dates: September 1, 2006 (Windows, macOS), December 11, 2012 (iOS), July 16, 2014 (Android), November 20, 2015 (Xbox One)",,,
Roblox,285,What is the name of one of the most popular Roblox games?,Adopt Me!,Loves Me!,Me Adopt!,Help Me!,Adopt Me! — the first game to reach 10 billion hits,,,
Roblox,286,What is the name for a school-themed role-playing game in Roblox that involves parties?,Royale High ,Miner's Haven,High Royale ,Flash royal,The game was originally called Fairies and Mermaids Winx High School and was intended as a role-playing game for Winx Club fans,,,
Roblox,287,What game in Roblox allows you to live on a ranch and ride horses?,Horse Valley,Star Wars: Space Battle,Valley Horse ,Derby Horses,Breeding horses is an important game mechanic of Horse Valley,,,
Roblox,288,A team game utilizing a pneumatic marker that shoots paint-filled capsules,BIG Paintball! ,Rainbow Friends,Paintball BIG! ,Paintball War,BIG Paintball! one of the most popular Roblox games with over 793 million hits,,,
Roblox,289,You can play various mini-games in each round,Epic Minigames ,Super Bomb Survival ,Minigames Epic,Epic Games,Epic Minigames has participated in more events than any other game,,,
Roblox,290,"The goal of this game is to raise bees to form a hive, collect pollen, and turn it into honey",Bee Swarm Simulator ,Tower of Hell ,Simulator Bee Swarm,Bee Movie,"Bee Swarm Simulator was created on March 23, 2018",,,
Roblox,291,A horror game based on the movie of the same name,Dead Silence,Blox Fruits,Silence Dead ,Dead Sea,Dead Silence has the best atmospheric design of any Roblox horror game,,,
Roblox,292,In which game do you need to build a boat and set off on a treasure-hunting adventure?,Build a boat for treasure ,Eat Same Color Food Challenge,For treasure — Build a boat ,Build-A-Bear,"BABFT was created by Chillz Studios on November 2, 2016",,,
Roblox,293,"An exciting simulator - a three-dimensional platformer, an official collaboration between SEGA and Roblox",Sonic Speed ​​​​Simulator,Brookhaven RP,Simulator Speed ​​​​Sonic ,Sonic the Hedgehog,Sonic Speed ​​​​Simulator is actively updated every Saturday,,,
Roblox,294,In which game can you launch rockets and build space stations?,Rocket Tester,Natural Disaster Survival,Tester Rocket,Roxette,"Rocket Tester was created on March 5, 2015",,,
Roblox,295,Which game has gameplay similar to Among Us?,Crewmates!,ION Formula Racing,Crew Mates!,The Crew,"Crewmates! created by Lionly Studios on November 10, 2020",,,
Roblox,296,In which game is the main objective to survive in an endless IKEA?,SCP-3008,The Mimic,3008-SCPR,1984,SCP-3008 is a Horror game created by uglyburger0 in 2019,,,
Roblox,297,A first-person shooter game based on the video game Counter-Strike,Arsenal,Hide and Seek Extreme ,Arsenal-Strike,Arsenal FC,"Arsenal Game won 3 Bloxy Awards at the 7th Annual Bloxy Awards. These are: Best Sound Design, Best Game Trailer and Game of the Year",,,
Roblox,298,"In this game, you will become a player of one of two teams — Phantoms or Ghosts",Phantom Forces,Work at a Pizza Place ,Forces Phantom,The Phantom of the Opera,"With its complex mechanics and unique gameplay, Phantom Forces is considered one of the most popular shooters on Roblox",,,
Roblox,299,What is MM2?,Murder Mystery 2,Theme Park Tycoon 2,Mystery Murder 2,Marilyn Manson 2,Murder Mystery 2 is a turn-based survival game with many different maps and modes,,,
Roblox,300,In which game can you be caught by a cleaning robot?,Panik,Expedition Antarctica,Panik Simulator,Pank,PANIK is a terrifying experience created by NK x BigB (NK Studio),,,
Roblox,301,The goal of this game is to speedrun through various maps and compete against the timer,Speed ​​Run 4,Dragon Adventures,Run Speed  4,Need for Speed,"Speed Run 4 is the first game in history to reach 100,000,000 hits",,,
Roblox,302,Characters from which game resemble the heroes of the cartoon series 'Peppa Pig'?,Piggy,Shinobi Life 2,Piggy Phantom,Peppa Pig,"Piggy won several Bloxy Awards at the 8th Annual Bloxy Awards, including Game of the Year",,,
Roblox,303,"In this game, you need to explore various dungeons",Dungeon Quest,Jailbreak,Quest Dungeon,Dungeons & Dragons,Dungeon Quest won the Builderman Award of Excellence at the 7th Annual Bloxys,,,
Roblox,304,In which game are there 9 fantasy realms?,World // Zero,Project Stardust,Zero // World,Lineage II,World // Zero is an online MMORPG world developed by RedManta,,,
Roblox,305,A racing game featuring Hot Wheels cars,Hot Wheels Open World ,King Legacy,Open World Hot Wheels ,Hotline,Hot Wheels Open World is a 3D game where you can unlock cars from the Mattel Hot Wheels franchise,,,
Roblox,306,What is Pet Simulator X commonly referred to as?,PSX,MM2,SCP-3008, A7X,"On February 12, 2022, when the Axolotl update came to PSX, over 800,000 Roblox players were playing the game during the update, causing the game to crash within the first hour of release",,,
Roblox,307,In which game do you need to explore the rooms of the Hotel?,DOORS ,ROOMS,FLOORS,The Doors ,"Guiding Light, Jeff and El Goblino are the only entities that can help the player",,,
Roblox,308,The best game for football fans,Super Striker League,Royale High ,League Super Striker ,The Supa Strikas,The Super Striker League game took part in the Metaverse Champions event. Players needed to win 1 match in the public lobby to get the Spark Kilowatt mystery box,,,
Roblox,309,This game is based on the popular urban legend 'The Backrooms',Apeirophobia,Horse Valley,Phobia Apeiro,Claustrophobia,"""The Backrooms"" was first described as a maze of empty office spaces that can only be entered ""without cutting out of reality""",,,
Roblox,310,The goal of the game is to search for artifacts by diving with a scuba gear in the Quill Lake,Scuba Diving at Quill Lake ,BIG Paintball! ,Diving at Quill ,The Dive,Scuba Diving at Quill Lake was created by ColonelGraff in July 2017,,,
Roblox,311,In which game was the nursery closed due to cases of children disappearing?,Garten of Banban,Epic Minigames ,Banban of Garten ,Savage Garden ,"Garten of Banban is a mascot horror game by Euphoric Bothers. Garten Of Banban II is the sequel to Garten of Banban, launched on March 3, 2023 on Steam",,,
Roblox,312,The gameplay of this game is similar to Minecraft,Miner's Haven,Bee Swarm Simulator ,Haven Miner's,Men's Health,Miner's Haven is the best Minecraft style game on the Roblox platform,,,
Roblox,313,The battle for supremacy in space in the Clone Wars and the Galactic Civil War,Star Wars: Space Battle,Dead Silence,Space Battle: Star Wars,Star Wars: Episode V – The Empire Strikes Back,"Star Wars: Space Battle is an event that started on November 30, 2017. Her sponsor was the film ""Star Wars: The Last Jedi"".",,,
Roblox,314,In the beginning of which game do players set off to the amusement park called 'Odd World'?,Rainbow Friends,Build a boat for treasure ,Friends Rainbow ,Friends,Rainbow Friends is based on the indie video game Poppy Playtime,,,
Roblox,315,The goal of this game is to survive on the arena while various dangers rain down from the sky and emerge from underground,Super Bomb Survival ,Sonic Speed ​​​​Simulator,Super Bomb ,Sex Bomb,There are currently over 100 maps in Super Bomb Survival,,,
Roblox,316,In which game do players need to reach the top of a tower composed of 6 sections?,Tower of Hell ,Rocket Tester,Hell of Tower,Tower of God,"On April Fool's Day 2020, the game's name was changed to ""Of Hell"" and later to ""Hell""",,,
Roblox,317,This game is based on the anime One Piece,Blox Fruits,Crewmates!,Fruits Blox,Fruits Basket ,Blox Fruits was created by mygame43 in January 2019,,,
Roblox,318,"In which game do you need to collect same-colored ingredients, cook, and eat?",Eat Same Color Food Challenge,SCP-3008,Eat Same Food,"Eat, Pray, Love","Eat Same Color Food Challenge was created on November 23, 2022",,,
Roblox,319,A role-playing game in the Town and City genre,Brookhaven RP,Arsenal,Brook Haven RP,Book haven ,"The game is updated every three weeks, and updates are released exactly one day after the release of an update in Adopt Me!",,,
Roblox,320,"In this game, you have to survive numerous natural disasters on various maps within a high green island",Natural Disaster Survival,Phantom Forces,Natural Disaster,National Nature Parks,"In the Natural Disaster Survival 2021 update, some people on Twitter criticized the ""Deadly Virus"" disaster due to the recent events of the COVID-19 pandemic",,,
Roblox,321,A classic racing franchise in the Formula-1 style,ION Formula Racing,Murder Mystery 2,ION Formula,F1 2021,"The ION League, founded in 2015, is a Roblox racing league that competes in different racing divisions every weekend
Founded in 2015, the ION League is a Roblox racing league that competes in different racing divisions every weekend",,,
Roblox,322,"An adventure game in the Survival horror genre, created by the player MUCDICH",The Mimic,Panik,The Mim,Mimicry,"The Mimic consists of 4 books (Rebirth, Jealousy, Rage and Control), each with its own hero and antagonist",,,
Roblox,323,In which game do players hide from the seeker?,Hide and Seek Extreme ,Speed ​​Run 4,Seek and Hide Extreme ,Hidden,Hide and Seek Extreme has been featured in many events such as We Bare Bears and Around The World,,,
Roblox,324,"A game where you work in a team, choosing one of the six professions",Work at a Pizza Place ,Piggy,Pizza Place ,California Pizza Kitchen,"Work at a Pizza Place was created on November 3, 2007 and is considered one of the iconic Roblox games",,,
Roblox,325,In which game do you need to build your own unique amusement park?,Theme Park Tycoon 2,Dungeon Quest,Park Tycoon 2,Jurassic Park,Theme Park Tycoon 2 was developed by Den_S,,,
Roblox,326,The main goal of this game is to reach the South Pole,Expedition Antarctica,World // Zero,Expedition Australia,The Lost Expedition,Expedition Antarctica is created by Playduo Studios. Many explorers and expedition groups teamed up with Playduo Studios to create the game,,,
Roblox,327,In which game can you fly on dragons?,Dragon Adventures,Hot Wheels Open World ,Dolphin Adventures,House of the Dragon,"Dragon Adventures was developed in 2019 by the company ""Roblox"" (USA) for the online platform of the same name ""Roblox""",,,
Roblox,328,An anime-style game like NARUTO,Shinobi Life 2,Super Striker League,Life Shinobi 2,Third Shinobi World War,Shinobi Life 2 is the most popular Naruto game on Roblox,,,
Roblox,329,Which game has gameplay similar to Grand Theft Auto (GTA)?,Jailbreak,Apeirophobia,Break jail,I want to break free,"On December 23, 2017, Jailbreak surpassed 121,000 concurrent players, a record for a single game",,,
Roblox,330,In which game can you control massive spacecraft in various space franchises?,Project Stardust,Scuba Diving at Quill Lake ,Stardust Project ,Microsoft Project,"There are currently only three Project Stardust franchises: Star Wars, Space Battleship Yamato, and Halo",,,
Roblox,331,A game based on the manga One Piece where you need to collect Devil Fruits,King Legacy,Garten of Banban,Legacy King,King's bridge,"As of update 3.5, there are 37 fruits in King Legacy: 16 of them are Paramecia, 10 are Logia, and 11 are Zoan",,,
Roblox,332,Special Roblox events where players hunt for eggs that are scattered across one or multiple games,Egg Hunt,Easter eggs,Hunt Egg,Hunter,Egg Drop 2008 was the first Egg Hunt event on Roblox,,,
World of Warcraft,333,Why should you purchase a premium package in World of Warcraft?,To level up your character faster,To create a new character,I don't know,To improve one's chances of winning,,,,
World of Warcraft,334,What is the best class for beginners to start playing with?,"It doesn't matter, you still have a lot to learn",Arthas Menethil,Thrall,Lich King,,,,
World of Warcraft,335,What classes are available in the game World of Warcraft?,All of the above,Warrior,Paladin,Hunter,,,,
World of Warcraft,336,What do Priests represent?,They devote themselves to the spiritual life and demonstrate steadfast faith while serving their people,"These are mercenaries, free from prejudice and conscience",These are characters who possess the mystique of magic,They fight with bare hands and possess martial arts skills,,,,
World of Warcraft,338,Who became the first shaman of the Draenei?,Nobundo,Velen,Akama,None of the answers is correct,,,,
World of Warcraft,339,What is WarCraft Life?,"This is an independent project organized by altruists, within the framework of the World of Warcraft game.",This is a separate card in the game.,This is a standalone game and nothing like the classic version.,None of the answers is correct,,,,
World of Warcraft,340,Is it possible to play World of Warcraft for free?,"Yes, the game has a demo version","No, the game is paid only",I don't know,The game is completely free,,,,
World of Warcraft,342,What is the purpose of the Battle Pass in the game World of Warcraft?,To improve my chances of winning,To change my character,To create a new character,I don't know,,,,
World of Warcraft,344,What color is the skin of the demonic Eredar?,Red,Blue,Yello,Black,,,,
World of Warcraft,345,How do you get to the Krasarang Wilds?,To swim,To fly,To run,Not possible,,,,
World of Warcraft,346,What do you need to bring to the shepherd boy?,A lamb,A bull,A cow,Nothing,,,,
World of Warcraft,347,What was the original name given to Blood Elves?,Sin'dorei,Kaldorei,Quel'dorei,That is their original name,,,,
World of Warcraft,348,"In the 'Icecrown Citadel,' the population limit increased from 90 to...?",100,110,120,130,,,,
World of Warcraft,349,Is it possible to kill other players' characters in this game?,"Yes, there is such a possibility",Why do we need to kill others?,There is no such possibility,None of the answers is correct,,,,
World of Warcraft,350,What is the smallest amount of money that can be earned in the game?,1 copper,1 penny,1 silver,1 schekl,,,,
